fecha;afp;tipo_de_fondo;tipo_de_instrumento;nemotecnico_del_instrumento;nombre_del_emisor;nacionalidad_del_emisor;unidad_de_reajuste_de_moneda;unidades;precio;inversion;grupo_economico;moneda_contrato_forward;moneda_objeto_forward;precio_ejercicio_forward;plazo_economico;tasa_pactada_del_fondo_swap;tasa_pactada_de_la_contraparte_swap
20170131;cup;A;BRP;BR41200617;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;295375;91.97012;27165674.2;;;;;140;;
20170131;cup;A;BRP;BR41010617;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;276045;92.00938;25398729.3;;;;;121;;
20170131;cup;A;BRP;BR12041019;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;2416;89.03192;215101.12;;;;;976;;
20170131;cup;A;BRP;BR41090220;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;235043;97.85824;23000894.3;;;;;1104;;
20170131;cup;A;BRP;BR81220918;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;45617;90.8654;4145006.95;;;;;599;;
20170131;cup;A;BRP;BR41171017;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;131207;92.68595;12161045.44;;;;;259;;
20170131;cup;A;BRP;BR41180419;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;331273;96.43353;31945824.78;;;;;807;;
20170131;cup;A;BRP;BR51060119;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;511496;94.10972;48136745.34;;;;;705;;
20170131;cup;A;BRP;BR51101020;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;113527;97.5407;11073503.05;;;;;1348;;
20170131;cup;A;BRP;BR41030119;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;78936;95.58004;7544706.04;;;;;702;;
20170131;cup;A;BRP;BR71100917;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;336969;89.80119;30260217.19;;;;;222;;
20170131;cup;A;BRP;BR32240717;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;362961;84.38304;30627752.58;;;;;174;;
20170131;cup;A;BRP;BR51280319;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;88738;94.60897;8395410.78;;;;;786;;
20170131;cup;A;BRP;BR41090917;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;568938;92.56265;52662408.97;;;;;221;;
20170131;cup;A;BRP;BR41260319;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;479910;96.19034;46162706.07;;;;;784;;
20170131;cup;A;BRP;BR41151219;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;178445;97.47163;17393325.02;;;;;1048;;
20170131;cup;A;BRP;BR41060723;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;82970;103.9859;8627710.12;;;;;2347;;
20170131;cup;A;BRP;BR41100418;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;123930;93.86892;11633175.26;;;;;434;;
20170131;cup;A;BRP;BR41101118;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;244690;95.27073;23311794.92;;;;;648;;
20170131;cup;A;BRP;BR41051117;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;515147;92.88707;47850495.45;;;;;278;;
20170131;cup;A;BRP;BR41290119;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;345782;95.79845;33125379.64;;;;;728;;
20170131;cup;A;BRP;BR51220817;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;699201;91.07791;63681765.75;;;;;203;;
20170131;cup;A;BRP;BR41101017;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;356075;92.74098;33022744.45;;;;;252;;
20170131;cup;A;BRP;BR41031119;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;24380;97.28677;2371851.45;;;;;1006;;
20170131;cup;A;BRP;BR32071017;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;216683;84.68832;18350519.24;;;;;249;;
20170131;cup;A;BRP;BR51010318;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;392080;92.12215;36119252.57;;;;;394;;
20170131;cup;A;BRP;BR41100419;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;362476;96.18839;34865982.85;;;;;799;;
20170131;cup;A;BRP;BR41271017;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;547836;92.91328;50901239.66;;;;;269;;
20170131;cup;A;BRP;BR41031217;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;321765;93.09198;29953740.94;;;;;306;;
20170131;cup;A;BRP;BR41210617;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;225882;92.26813;20841709.74;;;;;141;;
20170131;cup;A;BRP;BR41210119;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;1132753;95.86052;108586291.61;;;;;720;;
20170131;cup;A;BRP;BR61080417;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;351090;89.88468;31557612.3;;;;;67;;
20170131;cup;A;BRP;BR41151017;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;368508;92.69859;34160172;;;;;257;;
