"";"hc_3";"enfermos";"dependientes";"vehiculo";"dinero";"tramites";"tecnologias";"reparaciones_hogar";"trabajo";"consejos";"idiomas";"estudios"
"1";1;0,720119958737804;0,605601497267637;0,622730361230328;0,505891040950423;0,413736372120571;0,665461238581357;0,534695346017295;0,282304417125062;0,565522945693063;0,255608545228765;0,451969519633497
"2";2;0,799559937303081;0,755271460308028;0,719003926663272;0,646030380113549;0,618619444840854;0,722023919201047;0,635081669072913;0,463519677749261;0,720172080567304;0,395307120759777;0,592564638466072
"3";3;0,88018074521292;0,748992018312864;0,859247015521875;0,807563452171435;0,771955636563761;0,872471694559207;0,588468760569442;0,576306362308922;0,863686042118257;0,817009886977726;0,928218340480928
