"";"height";"merge.1";"merge.2"
"1";0,0302723642395998;-18;-23
"2";0,0315338801615927;-8;-21
"3";0,0339904837000518;-13;-22
"4";0,0357080296485552;-9;-17
"5";0,0453311260515531;-2;-3
"6";0,0545406441392219;-14;4
"7";0,0560148979683876;-26;-31
"8";0,0576695558287696;-7;-15
"9";0,0591886264676355;-32;3
"10";0,0619130871608831;-25;5
"11";0,0693040491549034;-16;10
"12";0,0766314668885471;-28;-29
"13";0,0828355759093959;-20;8
"14";0,08875522359931;-6;2
"15";0,0930968022952613;-30;1
"16";0,0951693501469512;-19;9
"17";0,0981184166680031;-24;7
"18";0,103950128283032;-27;11
"19";0,130877939912434;-4;15
"20";0,15692337091244;-12;17
"21";0,174772868401236;6;19
"22";0,203818365782319;-5;14
"23";0,235017251089122;18;22
"24";0,273014273584924;-10;21
"25";0,3590715209776;12;13
"26";0,404507028364784;-1;23
"27";0,526262689630622;-11;26
"28";0,587335479429253;20;25
"29";0,864615637260866;24;28
"30";2,74871032227968;16;29
"31";4,47919865831821;27;30
