"";"km_3";"enfermos";"dependientes";"vehiculo";"dinero";"tramites";"tecnologias";"reparaciones_hogar";"trabajo";"consejos";"idiomas";"estudios"
"1";1;0,712541573118569;0,607980234283952;0,626651325416482;0,513336628807729;0,430869620063192;0,661617414318913;0,544664149487047;0,296166436418694;0,567999208155149;0,257832554019509;0,448515919313162
"2";2;0,798546268725623;0,753007296224243;0,700575499235653;0,626353524638764;0,596261324333273;0,711181614512682;0,617471136889833;0,442413049857048;0,715215969376788;0,38870879222521;0,586195396871569
"3";3;0,884069136923057;0,776555734980853;0,86370264909997;0,808097138405881;0,77289320340862;0,864735909007509;0,641891085400885;0,5904381040543;0,848234645267344;0,710673476492744;0,86153505730925
