"";"x"
"1";3,24587290449946
"2";1,90459038589491
"3";1,15060986465338
"4";0,861158224048603
"5";0,672345827262286
"6";0,599747881498001
"7";0,462362379885962
"8";0,423401502950883
"9";0,356938152998372
"10";0,32297287630814
