"";"hc_3";"enfermos";"dependientes";"vehiculo";"dinero";"tramites";"tecnologias";"reparaciones_hogar";"trabajo";"consejos";"idiomas";"estudios"
"1";1;0,834693215431914;0,750158885181401;0,765990453493103;0,665224411590925;0,576491890784257;0,795236102231957;0,69296800315463;0,435092552504279;0,719328077137808;0,404208614732727;0,615572158728947
"2";2;0,87929802184179;0,856607275473795;0,823286350911696;0,760404164546707;0,742267097098568;0,818755879136371;0,772679920558925;0,579770776527525;0,824569345961817;0,494481676212576;0,700819282752567
"3";3;0,918203717155724;0,858379991338805;0,887216444236573;0,861064992312983;0,828906795537745;0,902341901054882;0,759135623556857;0,735018068590253;0,890257282945531;0,7902830683119;0,890133234332733
